Code,Label,MX
15115,Xonacatlan,X
15116,Zacazonapan,X
15117,Zacualpan,X
15118,Zinacantepec,X
15119,Zumpahuacan,X
15120,Zumpango,X
15121,Cuautitlan Izcalli,X
15122,Valle de Chalco Solidaridad,X
,Michoacan,
16001,Acuitzio,X
16002,Aguililla,X
16003,Alvaro Obregon,X
16004,Angamacutiro,X
16005,Angangueo,X
16006,Apatzingan,X
16007,Aporo,X
16008,Aquila,X
16009,Ario,X
16010,Arteaga,X
16011,Brisenas,X
16012,Buenavista,X
Code,Label,MX
,,2000
16013,Caracuaro,X
16014,Coahuayana,X
16015,Coalcoman de Vazquez Pallares,X
16016,Coeneo,X
16017,Contepec,X
16018,Copandaro,X
16019,Cotija,X
16020,Cuitzeo,X
16021,Charapan,X
16022,Charo,X
16023,Chavinda,X
16024,Cheran,X
16025,Chilchota,X
16026,Chinicuila,X
16027,Chucandiro,X
16028,Churintzio,X
16029,Churumuco,X
16030,Ecuandureo,X
16031,Epitacio Huerta,X
16032,Erongaricuaro,X
16033,Gabriel Zamora,X
16034,Hidalgo,X
16035,"Huacana, La",X
16036,Huandacareo,X
16037,Huaniqueo,X
Code,Label,MX
,,2000
16038,Huetamo,X
16039,Huiramba,X
16040,Indaparapeo,X
16041,Irimbo,X
16042,Ixtlan,X
16043,Jacona,X
16044,Jimenez,X
16045,Jiquilpan,X
16046,Juarez,X
16047,Jungapeo,X
16048,Lagunillas,X
16049,Madero,X
16050,Maravatio,X
16051,Marcos Castellanos,X
16052,Lazaro Cardenas,X
16053,Morelia,X
16054,Morelos,X
16055,Mugica,X
16056,Nahuatzen,X
16057,Nocupetaro,X
16058,Nuevo Parangaricutiro,X
16059,Nuevo Urecho,X
16060,Numaran,X
16061,Ocampo,X
16062,Pajacuaran,X
Code,Label,MX
,,2000
16063,Panindicuaro,X
16064,Paracuaro,X
16065,Paracho,X
16066,Patzcuaro,X
16067,Penjamillo,X
16068,Periban,X
16069,"Piedad, La",X
16070,Purepero,X
16071,Puruandiro,X
16072,Querendaro,X
16073,Quiroga,X
16074,Cojumatlan de Regules,X
16075,"Reyes, Los",X
16076,Sahuayo,X
16077,San Lucas,X
16078,Santa Ana Maya,X
16079,Salvador Escalante,X
16080,Senguio,X
16081,Susupuato,X
16082,Tacambaro,X
16083,Tancitaro,X
16084,Tangamandapio,X
16085,Tangancicuaro,X
16086,Tanhuato,X
16087,Taretan,X
Code,Label,MX
,,2000
16088,Tarimbaro,X
16089,Tepalcatepec,X
16090,Tingambato,X
16091,Tinguindin,X
16092,Tiquicheo de Nicolas Romero,X
16093,Tlalpujahua,X
16094,Tlazazalca,X
16095,Tocumbo,X
16096,Tumbiscatio,X
16097,Turicato,X
16098,Tuxpan,X
16099,Tuzantla,X
16100,Tzintzuntzan,X
16101,Tzitzio,X
16102,Uruapan,X
16103,Venustiano Carranza,X
16104,Villamar,X
16105,Vista Hermosa,X
16106,Yurecuaro,X
16107,Zacapu,X
16108,Zamora,X
16109,Zinaparo,X
16110,Zinapecuaro,X
16111,Ziracuaretiro,X
16112,Zitacuaro,X
Code,Label,MX
,,2000
16113,Jose Sixto Verduzco,X
,Morelos,
17001,Amacuzac,X
17002,Atlatlahucan,X
17003,Axochiapan,X
17004,Ayala,X
17005,Coatlan del Rio,X
17006,Cuautla,X
17007,Cuernavaca,X
17008,Emiliano Zapata,X
17009,Huitzilac,X
17010,Jantetelco,X
17011,Jiutepec,X
17012,Jojutla,X
17013,Jonacatepec,X
17014,Mazatepec,X
17015,Miacatlan,X
17016,Ocuituco,X
17017,Puente de Ixtla,X
17018,Temixco,X
17019,Tepalcingo,X
17020,Tepoztlan,X
17021,Tetecala,X
17022,Tetela del Volcan,X
17023,Tlalnepantla,X
Code,Label,MX
,,2000
17024,Tlaltizapan,X
17025,Tlaquiltenango,X
17026,Tlayacapan,X
17027,Totolapan,X
17028,Xochitepec,X
17029,Yautepec,X
17030,Yecapixtla,X
17031,Zacatepec de Hidalgo,X
17032,Zacualpan de Amilpas,X
17033,Temoac,X
,Nayarit,
18001,Acaponeta,X
18002,Ahuacatlan,X
18003,Amatlan de Canas,X
18004,Compostela,X
18005,Huajicori,X
18006,Ixtlan del Rio,X
18007,Jala,X
18008,Xalisco,X
18009,Del Nayar,X
18010,Rosamorada,X
18011,Ruiz,X
18012,San Blas,X
18013,San Pedro Lagunillas,X
18014,Santa Maria del Oro,X
Code,Label,MX
,,2000
18015,Santiago Ixcuintla,X
18016,Tecuala,X
18017,Tepic,X
18018,Tuxpan,X
18019,"Yesca, La",X
18020,Bahia de Banderas,X
,Nuevo Leon,
19001,Abasolo,X
19002,Agualeguas,X
19003,"Aldamas, Los",X
19004,Allende,X
19005,Anahuac,X
19006,Apodaca,X
19007,Aramberri,X
19008,Bustamante,X
19009,Cadereyta Jimenez,X
19010,Carmen,X
19011,Cerralvo,X
19012,Cienega de Flores,X
19013,China,X
19014,Doctor Arroyo,X
19015,Doctor Coss,X
19016,Doctor Gonzalez,X
19017,Galeana,X
19018,Garcia,X
Code,Label,MX
,,2000
19019,San Pedro Garza Garcia,X
19020,General Bravo,X
19021,General Escobedo,X
19022,General Teran,X
19023,General Trevino,X
19024,General Zaragoza,X
19025,General Zuazua,X
19026,Guadalupe,X
19027,"Herreras, Los",X
19028,Higueras,X
19029,Hualahuises,X
19030,Iturbide,X
19031,Juarez,X
19032,Lampazos de Naranjo,X
19033,Linares,X
19034,Marin,X
19035,Melchor Ocampo,X
19036,Mier y Noriega,X
19037,Mina,X
19038,Montemorelos,X
19039,Monterrey,X
19040,Paras,X
19041,Pesqueria,X
19042,"Ramones, Los",X
19043,Rayones,X
