"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"I3","H0","484","Mexico","30","MANUFACTURE OF OFFICE, ACCOUNTING AND COMPUTING MA","840","United States",1991,1991,"CMT","AHS",15.86,14.55,4.83,5,20,78,0,38,875216.106,
"I3","H0","484","Mexico","30","MANUFACTURE OF OFFICE, ACCOUNTING AND COMPUTING MA","840","United States",1991,1991,"CMT","MFN",15.86,14.55,4.83,5,20,78,0,38,875216.106,
"I3","H0","484","Mexico","30","MANUFACTURE OF OFFICE, ACCOUNTING AND COMPUTING MA","840","United States",1995,1995,"CMT","AHS",2.44,6.86,7.72,0,20,83,0,14,1174899.992,
"I3","H0","484","Mexico","30","MANUFACTURE OF OFFICE, ACCOUNTING AND COMPUTING MA","840","United States",1995,1995,"CMT","MFN",15.32,11.42,6.35,0,20,83,0,47,1174899.992,
"I3","H0","484","Mexico","30","MANUFACTURE OF OFFICE, ACCOUNTING AND COMPUTING MA","840","United States",1995,1995,"CMT","PRF",2.44,6.86,7.72,0,20,,,14,1174899.992,
"I3","H0","484","Mexico","31","MANUFACTURE OF ELECTRICAL MACHINERY AND APPARATUS ","840","United States",1991,1991,"CMT","AHS",13.92,13.44,3.15,5,20,638,0,54,982003.742,
"I3","H0","484","Mexico","31","MANUFACTURE OF ELECTRICAL MACHINERY AND APPARATUS ","840","United States",1991,1991,"CMT","MFN",13.92,13.44,3.15,5,20,638,0,54,982003.742,
"I3","H0","484","Mexico","31","MANUFACTURE OF ELECTRICAL MACHINERY AND APPARATUS ","840","United States",1995,1995,"CMT","AHS",7.33,7.06,5.42,0,20,564,0,16,5782380.048,
"I3","H0","484","Mexico","31","MANUFACTURE OF ELECTRICAL MACHINERY AND APPARATUS ","840","United States",1995,1995,"CMT","MFN",13.69,12.72,3.86,0,20,564,0,48,5782380.048,
"I3","H0","484","Mexico","31","MANUFACTURE OF ELECTRICAL MACHINERY AND APPARATUS ","840","United States",1995,1995,"CMT","PRF",7.33,7.06,5.42,0,20,,,16,5782380.048,
"I3","H0","484","Mexico","32","MANUFACTURE OF RADIO, TELEVISION AND COMMUNICATION","840","United States",1991,1991,"CMT","AHS",14.36,14.96,4,5,20,296,0,61,891030.439,
"I3","H0","484","Mexico","32","MANUFACTURE OF RADIO, TELEVISION AND COMMUNICATION","840","United States",1991,1991,"CMT","MFN",14.36,14.96,4,5,20,296,0,61,891030.439,
"I3","H0","484","Mexico","32","MANUFACTURE OF RADIO, TELEVISION AND COMMUNICATION","840","United States",1995,1995,"CMT","AHS",3.69,4.27,6.73,0,20,293,0,24,7105453.992,
"I3","H0","484","Mexico","32","MANUFACTURE OF RADIO, TELEVISION AND COMMUNICATION","840","United States",1995,1995,"CMT","MFN",12.37,8.89,5.92,0,20,293,0,75,7105453.992,
"I3","H0","484","Mexico","32","MANUFACTURE OF RADIO, TELEVISION AND COMMUNICATION","840","United States",1995,1995,"CMT","PRF",2.82,4.19,6.52,0,20,,,20,7068786.992,
"I3","H0","484","Mexico","33","MANUFACTURE OF MEDICAL, PRECISION AND OPTICAL INST","840","United States",1991,1991,"CMT","AHS",13.06,12.47,3.81,5,20,515,0,87,719750.657,
"I3","H0","484","Mexico","33","MANUFACTURE OF MEDICAL, PRECISION AND OPTICAL INST","840","United States",1991,1991,"CMT","MFN",13.06,12.47,3.81,5,20,515,0,87,719750.657,
"I3","H0","484","Mexico","33","MANUFACTURE OF MEDICAL, PRECISION AND OPTICAL INST","840","United States",1995,1995,"CMT","AHS",1.87,3.78,4.35,0,16,408,0,5,1254873,
"I3","H0","484","Mexico","33","MANUFACTURE OF MEDICAL, PRECISION AND OPTICAL INST","840","United States",1995,1995,"CMT","MFN",11.96,10.64,5.19,0,20,408,0,57,1254873,
"I3","H0","484","Mexico","33","MANUFACTURE OF MEDICAL, PRECISION AND OPTICAL INST","840","United States",1995,1995,"CMT","PRF",1.88,3.79,4.35,0,16,,,5,1251053,
"I3","H0","484","Mexico","34","MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-T","840","United States",1991,1991,"CMT","AHS",15.47,14.63,3.55,10,20,286,0,43,985145.602,
"I3","H0","484","Mexico","34","MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-T","840","United States",1991,1991,"CMT","MFN",15.47,14.63,3.55,10,20,286,0,43,985145.602,
"I3","H0","484","Mexico","34","MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-T","840","United States",1995,1995,"CMT","AHS",8.98,8.43,5.23,0,20,246,0,22,3736503.016,
"I3","H0","484","Mexico","34","MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-T","840","United States",1995,1995,"CMT","MFN",15.28,13.7,3.86,0,20,246,0,43,3736503.016,
"I3","H0","484","Mexico","34","MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-T","840","United States",1995,1995,"CMT","PRF",7.57,7.22,4.87,0,20,,,15,3383742.008,
"I3","H0","484","Mexico","35","MANUFACTURE OF OTHER TRANSPORT EQUIPMENT","840","United States",1991,1991,"CMT","AHS",12.85,11.36,4.62,0,20,166,0,35,455670.462,
"I3","H0","484","Mexico","35","MANUFACTURE OF OTHER TRANSPORT EQUIPMENT","840","United States",1991,1991,"CMT","MFN",12.85,11.36,4.62,0,20,166,0,35,455670.462,
"I3","H0","484","Mexico","35","MANUFACTURE OF OTHER TRANSPORT EQUIPMENT","840","United States",1995,1995,"CMT","AHS",2.91,2.11,5.51,0,20,108,0,6,206075,
"I3","H0","484","Mexico","35","MANUFACTURE OF OTHER TRANSPORT EQUIPMENT","840","United States",1995,1995,"CMT","MFN",12.41,8.91,5.5,0,20,108,0,28,206075,
"I3","H0","484","Mexico","35","MANUFACTURE OF OTHER TRANSPORT EQUIPMENT","840","United States",1995,1995,"CMT","PRF",2.91,2.11,5.51,0,20,,,6,206075,
"I3","H0","484","Mexico","36","MANUFACTURE OF FURNITURE; MANUFACTURING N.E.C.","840","United States",1991,1991,"CMT","AHS",17.04,17.01,4.26,0,20,390,0,221,450811.312,
"I3","H0","484","Mexico","36","MANUFACTURE OF FURNITURE; MANUFACTURING N.E.C.","840","United States",1991,1991,"CMT","MFN",17.04,17.01,4.26,0,20,390,0,221,450811.312,
"I3","H0","484","Mexico","36","MANUFACTURE OF FURNITURE; MANUFACTURING N.E.C.","840","United States",1995,1995,"CMT","AHS",5.49,5.74,6.37,0,20,283,0,32,791995.008,
