munic,RTC_mex00,RTC_us00,RTC2_mex00,RTC2_us00,RTC_HM16_us00
484015014,-.1100374250714253,-.0537297788319648,-.1068865325360093,-.0545922670262371,-.0309286884476023
484015015,-.1029162997438107,-.0534897103225376,-.1021132165769814,-.048304998880667,-.0271832060670931
484015016,-.1054979951877613,-.0528289658177528,-.1030382762546651,-.0521956326856525,-.0318428174909968
484015017,-.1124555731657893,-.0569203338818625,-.1111589199863374,-.0547483948321315,-.0344423860224197
484015018,-.1136716528053512,-.0514847960894258,-.1103584012598731,-.0536669729026471,-.0332058614197308
484015019,-.1036851945391391,-.0482832661582506,-.1057196534820832,-.0515263156266883,-.0322701708992099
484015020,-.1069330685846248,-.0471959001271374,-.1097993671646691,-.0493270485139874,-.0245754088900867
484015021,-.1036755504028406,-.0484493286558063,-.1029099798033712,-.0467959678276202,-.0270042523328584
484015022,-.1099044558504829,-.0352889047862845,-.1052063891256694,-.0579406724391447,-.0410879638893675
484015023,-.1202843990322435,-.0651012747571258,-.1142881429404952,-.0583818439949937,-.0381796477457783
484015024,-.1122051617151101,-.0486187161868799,-.1099371629779853,-.0510158074920355,-.0270518019789154
484015025,-.1110370216856609,-.0603724467014217,-.1099565255517518,-.0590098599651014,-.0324450385617965
484015026,-.1147510129667353,-.0792396009019285,-.1086655132821761,-.0647540185818798,-.048778943272282
484015027,-.1197942330036312,-.0687467825191561,-.1165912196738645,-.0668015402916353,-.0423743502797151
484015028,-.1084456058815704,-.0696663304415779,-.1078325833223062,-.0726380653941305,-.0487518199094552
484015029,-.1097499152292585,-.0647339295840084,-.1109990624827333,-.0616270275836541,-.0333257296881868
484015030,-.1219172674609581,-.1094187356720795,-.114329568692483,-.0808303340381826,-.0638568402532655
484015031,-.1086320345639251,-.041831242851913,-.1029377795057371,-.0434651454652339,-.023880738898697
484015032,-.1068972107023001,-.0501472873729654,-.1024280139245093,-.0449585760943592,-.0255452717683511
484015033,-.1125167406462424,-.0605330573234824,-.1088217286378495,-.0619252586129733,-.0404980572373006
484015034,-.1087278006380075,-.0578182223198382,-.1061307940326515,-.0544119590340415,-.0335767104359093
484015035,-.1118462562280911,-.0574189391651316,-.1114946278830757,-.0566916787688569,-.0317636421229963
484015036,-.1071698330210893,-.0584929877331319,-.1040111543261446,-.0454992100203526,-.0296611964388376
484015037,-.1104909956411575,-.0607909770506012,-.1056534283270594,-.0559507770842629,-.0317210576413487
484015038,-.1103468069632072,-.0496860276107327,-.1077207236667164,-.0493015531537822,-.0244146108246923
484015039,-.1015964253456332,-.0437798819693853,-.1014172681607306,-.0421981589970528,-.0235943236184539
484015040,-.1047959898569388,-.0452516008992916,-.1054503391933395,-.0480535515221163,-.0248696792465637
484015041,-.112073471050735,-.0516231593445582,-.1064387486840133,-.0531260406351066,-.0320377736811679
484015042,-.1139914089708327,-.0525434228979975,-.1073614294291474,-.0563367951835971,-.0329484255081525
484015043,-.1107449765695492,-.0762148000112575,-.106334053867613,-.0610214575744976,-.0440134123496705
484015044,-.1116887818031955,-.0451968392563629,-.1089311406831257,-.0465851129465591,-.0233874915252272
484015045,-.11081869006739,-.0520055949309608,-.1045402119125356,-.0465402363206522,-.0253787902611293
484015046,-.1063846041506622,-.0411021321615408,-.1076523694355274,-.0494256002675684,-.0252805815171087
484015047,-.1081747397547588,-.0508177651208825,-.1032352179754525,-.0477663961646613,-.0276223073888104
484015048,-.1040640786814038,-.049969859974226,-.1035114195401548,-.0494215956859989,-.0296931783269656
484015049,-.1159681692656278,-.0621939613611193,-.1143218488541606,-.0595499952664795,-.0389672618134966
484015050,-.1012382562839775,-.0431187471640442,-.1017190086422488,-.0436105810131266,-.0245106736579146
484015051,-.10782609029593,-.0704304655132546,-.1093966746266233,-.0528589622790605,-.0285971439107016
