hts8	year	brief_description	quantity_1_code	quantity_2_code	wto_binding_code	mfn_rate_type_code	mfn_ave	mfn_ad_val_rate	mfn_specific_rate	mfn_other_rate	gsp_indicator	gsp_ctry_excluded	gsp_ctry_excluded2	gsp_ctry_excluded3	gsp_ctry_excluded4	apta_indicator	civil_air_indicator	nafta_canada_ind	canada_rate_type_code	canada_ave	canada_ad_val_rate	canada_specific_rate	canada_other_rate	nafta_mexico_ind	mexico_rate_type_code	mexico_ave	mexico_ad_val_rate	mexico_specific_rate	mexico_other_rate	cbi_indicator	cbi_rate_type_code	cbi_ave	cbi_ad_val_rate	cbi_specific_rate	cbi_other_rate	israel_fta_indicator	israel_rate_type_code	israel_ave	israel_ad_val_rate	israel_specific_rate	israel_other_rate	atpa_indicator	atpa_rate_type_code	atpa_ave	atpa_ad_val_rate	atpa_specific_rate	atpa_other_rate	pharmaceutical_ind	dyes_indicator	col2_rate_type_code	col2_ave	col2_ad_val_rate	col2_specific_rate	col2_other_rate	begin_effect_date	end_effective_date	additional_tariff_num_ind	unitvalue
74072210	90	"Profiles of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)"	"kilograms"	""			.063	.063	0	0	"A"	""	""			""	""	"CA"		.05	.05	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.48	.48	0	0				8.75922
74072250	90	"Copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver), bars & rods"	"kilograms"	""			.062	.062	0	0	"A"	""	""			""	""	"CA"		.049	.049	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.48	.48	0	0				5.75223
74072910	90	"Profiles of copper alloys, nesi"	"kilograms"	""			.052	.052	0	0	"A"	""	""			""	""	"CA"		.041	.041	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.49	.49	0	0				9.14552
74072950	90	"Copper alloys (o/than brass, cupro-nickel or nickel silver), bars and rods"	"kilograms"	""			.016	.016	0	0	"A"	""	""			""	""	"CA"		.012	.012	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.09	.09	0	0				4.34742
74081130	90	"Refined copper, wire, w/maximum cross-sectional dimension over 9.5 mm"	"kilograms"	""			.01	.01	0	0	"A"	""	""			""	""	"CA"		.008	.008	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.07	.07	0	0				4.52985
74081160	90	"Refined copper, wire, w/maximum cross-sectional dimension over 6 mm but not over 9.5 mm"	"kilograms"	""			.04	.04	0	0	"A"	""	""			""	""	"CA"		.032	.032	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.28	.28	0	0				5.70591
74081900	90	"Refined copper, wire, w/maximum cross-sectional dimension of 6 mm or less"	"kilograms"	""			.04	.04	0	0	"A"	""	""			""	""	"CA"		.032	.032	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.28	.28	0	0				5.05139
74082100	90	"Copper-zinc base alloys (brass), wire"	"kilograms"	""			.04	.04	0	0	"A"	""	""			""	""	"CA"		.032	.032	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.28	.28	0	0				3.6638
74082210	90	"Copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver), wire, coated or plated with metal"	"kilograms"	""			.044	.044	0	0	"A"	""	""			""	""	"CA"		.035	.035	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.28	.28	0	0				7.78173
74082250	90	"Copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver), wire, not coated or plated w/metal"	"kilograms"	""			.04	.04	0	0	"A"	""	""			""	""	"CA"		.032	.032	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.28	.28	0	0				7.28917
74082910	90	"Copper alloys (o/than brass, cupro-nickel or nickel-silver), wire, coated or plated with metal"	"kilograms"	""			.044	.044	0	0	"A"	""	""			""	""	"CA"		.035	.035	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.28	.28	0	0				8.07218
74082950	90	"Copper alloys (o/than brass, cupro-nickel or nickel-silver), wire, not coated or plated with metal"	"kilograms"	""			.04	.04	0	0	"A"	""	""			""	""	"CA"		.032	.032	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.28	.28	0	0				5.51941
74091110	90	"Refined copper, plates, sheets and strip, in coils, with a thickness of 5 mm or more"	"kilograms"	""			.067	.067	0	0	"A"	""	""			""	""	"CA"		.053	.053	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.38	.38	0	0				4.84031
74091150	90	"Refined copper, plates, sheets and strip, in coils, with a thickness over 0.15mm but less than 5 mm"	"kilograms"	""			.01	.01	0	0	"A"	""	""			""	""	"CA"		.008	.008	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.075	.075	0	0				3.70793
74091910	90	"Refined copper, plates, sheets and strip, not in coils, with a thickness of 5 mm or more"	"kilograms"	""			.047	.047	0	0	"A"	""	""			""	""	"CA"		.037	.037	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.48	.48	0	0				3.95775
74091950	90	"Refined copper, plates, sheets and strip, not in coils, with a thickness o/0.15mm but less than 5 mm & a width of 500 mm or more"	"kilograms"	""			.01	.01	0	0	"A"	""	""			""	""	"CA"		.008	.008	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.075	.075	0	0				3.39921
74091990	90	"Refined copper, plates, sheets and strip, not in coils, with a thickness o/0.15mm but less than 5 mm & a width of less than 500 mm"	"kilograms"	""			.047	.047	0	0	"A"	""	""			""	""	"CA"		.037	.037	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.48	.48	0	0				4.8006
74092100	90	"Copper-zinc base alloys (brass), plates, sheets and strip, in coils"	"kilograms"	""			.019	.019	0	0	"A"	""	""			""	""	"CA"		.015	.015	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.09	.09	0	0				3.19041
74092900	90	"Copper-zinc base alloys (brass), plates, sheets and strip, not in coils"	"kilograms"	""			.019	.019	0	0	"A"	""	""			""	""	"CA"		.015	.015	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.09	.09	0	0				3.51058
