UNCode	Country_UN	Program1989	Program1990	Program1991	Program1992	Program1993	Program1994	Program1995	Program1996	Program1997	Program1998	Program1999	Program2000	Program2001		Program Code	Description
163840	IVY_CST	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	AGOA
353880	JAMAICA	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBTPA
413920	JAPAN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
444000	JORDON	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
463980	KAZAKHST					MFN	MFN	GSP	GSP	GSP	GSP	GSP	GSP	GSP
164040	KENYA	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	AGOA
722960	KIRIBATI	GSP	GSP	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+
484080	KOREA_N	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2
454100	KOREA_S	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
444140	KUWAIT	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
464170	KYRGYZST				MFN	MFN	MFN	GSP	GSP	GSP	GSP	GSP	GSP	GSP
454180	LAO	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2
584280	LATVIA	Col2	Col2	Col2	MFN	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
444220	LEBANON	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
164300	LIBERIA	GSP	GSP	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
134340	LIBYA													
584400	LITHUANI	Col2	Col2	Col2	MFN	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
454460	MACAU	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	MFN	MFN	MFN	MFN
598070	MACEDONI				MFN	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
164500	MADAGAS	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP+	GSP+	GSP+	GSP+	AGOA+
164540	MALAWI	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	AGOA+
454580	MALAYSIA	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	MFN	MFN	MFN	MFN	MFN
164660	MALI	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	AGOA+
574700	MALTA	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
164780	MAURITN	GSP	GSP	GSP+	GSP+	GSP+	MFN	MFN	MFN	MFN	MFN	GSP	GSP+	AGOA+
334840	MEXICO	GSP	GSP	GSP	GSP	GSP	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX
584980	MOLDOVA				MFN	MFN	MFN	MFN	GSP	GSP	GSP	GSP	GSP	GSP
484960	MONGOLA	Col2	Col2	Col2	MFN	MFN	MFN	MFN	MFN	MFN	MFN	GSP	GSP	GSP
135040	MOROCCO	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
165080	MOZAMBQ	GSP	GSP	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	AGOA+
164800	MRITIUS	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP+	AGOA+
355320	N_ANTIL	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI
455240	NEPAL	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+
