"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",2002,2002,"CMT","BND",38.75,35,6.5,35,50,4,0,4,863100.668,100
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",2002,2002,"CMT","MFN",10.5,12.54,4.33,3,13,4,0,0,863100.668,
"I3","H1","484","Mexico","1110","Extraction of crude petroleum and natural gas","840","United States",2002,2002,"CMT","PRF",0.75,0.95,0.43,0,1,,,0,863101.367,
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",1996,1996,"CMT","AHS",10,10,0,10,10,2,0,0,1510.66,
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",1996,1996,"CMT","BND",35,35,0,35,35,2,0,2,1510.66,100
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",1996,1996,"CMT","MFN",10,10,0,10,10,2,0,0,1510.66,
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",1997,1997,"CMT","AHS",10,10,0,10,10,2,0,0,1036.082,
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",1997,1997,"CMT","BND",35,35,0,35,35,2,0,2,1036.082,100
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",1997,1997,"CMT","MFN",10,10,0,10,10,2,0,0,1036.082,
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",1998,1998,"CMT","AHS",10,10,0,10,10,2,0,0,1120.059,
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",1998,1998,"CMT","BND",35,35,0,35,35,2,0,2,1120.059,100
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",1998,1998,"CMT","MFN",10,10,0,10,10,2,0,0,1120.059,
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",1999,1999,"CMT","AHS",0,0,0,0,0,4,0,0,1120.573,
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",1999,1999,"CMT","BND",35,35,0,35,35,2,0,2,1120.573,100
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",1999,1999,"CMT","MFN",13,13,0,13,13,4,0,0,1120.573,
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",1999,1999,"CMT","PRF",0,0,0,0,0,4,,0,1120.573,
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",2000,2000,"CMT","AHS",13,13,0,13,13,2,0,0,727.284,
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",2000,2000,"CMT","BND",35,35,0,35,35,2,0,2,727.284,100
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",2000,2000,"CMT","MFN",13,13,0,13,13,2,0,0,727.284,
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",2001,2001,"CMT","AHS",13,13,0,13,13,2,0,0,604.255,
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",2001,2001,"CMT","BND",35,35,0,35,35,2,0,2,604.255,100
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",2001,2001,"CMT","MFN",13,13,0,13,13,2,0,0,604.255,
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",2002,2002,"CMT","AHS",0,0,0,0,0,2,0,0,818.891,
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",2002,2002,"CMT","BND",35,35,0,35,35,2,0,2,818.891,100
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",2002,2002,"CMT","MFN",13,13,0,13,13,2,0,0,818.891,
"I3","H1","484","Mexico","1310","Mining of iron ores","840","United States",2002,2002,"CMT","PRF",0,0,0,0,0,,,0,818.889,
